s,t,c,w0,w1,h,time,acc
0,0,1,1.0,1.0,0,130.727,71.395
0,0,1,1.0,1.0,0,124.507,70.749
0,0,1,1.0,2.0,0,164.150,69.222
0,0,1,1.0,5.0,0,156.214,55.163
0,0,1,1.0,10.0,0,270.878,35.231
0,0,1,1.0,20.0,0,334.584,36.613
0,0,1,2.0,1.0,0,153.412,63.710
0,0,1,2.0,2.0,0,124.398,71.898
0,0,1,2.0,5.0,0,194.969,67.535
0,0,1,2.0,10.0,0,209.728,57.784
0,0,1,2.0,20.0,0,281.757,37.547
0,0,1,5.0,1.0,0,125.991,63.943
0,0,1,5.0,2.0,0,154.735,61.842
0,0,1,5.0,5.0,0,126.096,71.772
0,0,1,5.0,10.0,0,165.748,69.779
0,0,1,5.0,20.0,0,202.317,65.613
0,0,1,10.0,1.0,0,126.385,64.590
0,0,1,10.0,2.0,0,133.252,63.387
0,0,1,10.0,5.0,0,217.876,62.902
0,0,1,10.0,10.0,0,130.383,72.957
0,0,1,10.0,20.0,0,158.201,70.587
0,0,1,20.0,1.0,0,133.660,61.340
0,0,1,20.0,2.0,0,137.860,64.015
0,0,1,20.0,5.0,0,159.620,62.812
0,0,1,20.0,10.0,0,203.526,62.435
0,0,1,20.0,20.0,0,128.981,72.329
0,0,500,1.0,1.0,1,328.109,74.789
0,0,500,10.0,20.0,1,3475.806,69.510
0,0,500,1.0,2.0,1,668.099,69.851
0,0,2000,1.0,1.0,0,2069.376,74.484
