s,t,d,g,r,c,h,time,acc
0,1,3,0.04,0,100,1,195.484,67.591
0,1,3,0.04,0,100,0,166.949,67.591
0,1,4,0.04,0,100,0,167.949,63.271
0,1,4,0.04,0,100,1,206.345,63.271
0,1,2,0.04,-0.5,10,0,127.287,41.812
0,1,2,0.04,-0.5,10,1,189.622,41.812
0,1,2,0.04,-0.5,100,0,122.728,41.773
0,1,2,0.04,-0.5,100,1,188.803,41.773
0,1,2,0.04,-0.5,1000,0,123.064,41.753
0,1,2,0.04,-0.5,1000,1,190.078,41.753
0,1,2,0.04,-0.5,10000,0,123.590,41.755
0,1,2,0.04,-0.5,10000,1,189.409,41.755
0,1,2,0.04,-0.5,100000,0,123.854,41.755
0,1,2,0.04,-0.5,100000,1,190.481,41.755
0,1,2,0.04,-0.4,10,0,123.393,41.825
0,1,2,0.04,-0.4,10,1,191.607,41.825
0,1,2,0.04,-0.4,100,0,123.478,41.769
0,1,2,0.04,-0.4,100,1,189.585,41.769
0,1,2,0.04,-0.4,1000,0,124.232,41.758
0,1,2,0.04,-0.4,1000,1,189.516,41.758
0,1,2,0.04,-0.4,10000,0,123.064,41.755
0,1,2,0.04,-0.4,10000,1,190.307,41.755
0,1,2,0.04,-0.4,100000,0,122.890,41.755
0,1,2,0.04,-0.4,100000,1,189.884,41.755
0,1,2,0.04,-0.30000000000000004,10,0,123.873,41.835
0,1,2,0.04,-0.30000000000000004,10,1,190.560,41.835
0,1,2,0.04,-0.30000000000000004,100,0,122.439,41.774
0,1,2,0.04,-0.30000000000000004,100,1,191.042,41.774
0,1,2,0.04,-0.30000000000000004,1000,0,124.573,41.760
0,1,2,0.04,-0.30000000000000004,1000,1,189.212,41.760
0,1,2,0.04,-0.30000000000000004,10000,0,123.181,41.756
0,1,2,0.04,-0.30000000000000004,10000,1,190.314,41.756
0,1,2,0.04,-0.30000000000000004,100000,0,122.938,41.755
0,1,2,0.04,-0.30000000000000004,100000,1,189.673,41.755
0,1,2,0.04,-0.2,10,0,123.207,41.889
0,1,2,0.04,-0.2,10,1,190.979,41.889
0,1,2,0.04,-0.2,100,0,122.780,41.753
0,1,2,0.04,-0.2,100,1,190.163,41.753
0,1,2,0.04,-0.2,1000,0,123.475,41.756
0,1,2,0.04,-0.2,1000,1,189.774,41.756
0,1,2,0.04,-0.2,10000,0,123.316,41.755
0,1,2,0.04,-0.2,10000,1,197.382,41.755
0,1,2,0.04,-0.2,100000,0,122.393,41.755
0,1,2,0.04,-0.2,100000,1,190.395,41.755
0,1,2,0.04,-0.1,10,0,126.124,42.031
0,1,2,0.04,-0.1,10,1,191.899,42.031
0,1,2,0.04,-0.1,100,0,123.938,41.764
0,1,2,0.04,-0.1,100,1,190.095,41.764
0,1,2,0.04,-0.1,1000,0,123.386,41.737
0,1,2,0.04,-0.1,1000,1,188.975,41.737
0,1,2,0.04,-0.1,10000,0,123.501,41.737
0,1,2,0.04,-0.1,10000,1,189.012,41.737
0,1,2,0.04,-0.1,100000,0,124.338,41.737
0,1,2,0.04,-0.1,100000,1,190.785,41.737
0,1,2,0.04,0.0,10,0,161.228,68.399
0,1,2,0.04,0.0,10,1,192.430,68.396
0,1,2,0.04,0.0,100,0,155.416,70.328
0,1,2,0.04,0.0,100,1,180.216,70.331
0,1,2,0.04,0.0,1000,0,152.847,71.691
0,1,2,0.04,0.0,1000,1,168.182,71.693
0,1,2,0.04,0.0,10000,0,161.084,73.691
0,1,2,0.04,0.0,10000,1,162.351,73.689
0,1,2,0.04,0.0,100000,0,374.692,75.452
0,1,2,0.04,0.0,100000,1,275.364,75.451
0,1,2,0.04,0.1,10,0,161.168,69.428
0,1,2,0.04,0.1,10,1,186.201,69.432
0,1,2,0.04,0.1,100,0,153.604,71.113
0,1,2,0.04,0.1,100,1,176.692,71.109
0,1,2,0.04,0.1,1000,0,152.478,72.843
0,1,2,0.04,0.1,1000,1,162.667,72.842
0,1,2,0.04,0.1,10000,0,204.945,75.192
0,1,2,0.04,0.1,10000,1,191.624,75.190
