s,t,d,g,r,c,h,time,acc
0,1,2,0.04,-0.1,1,0,124.389,44.640
0,1,2,0.04,-0.1,5,0,75.835,61.591
0,1,2,0.04,-0.1,10,0,70.287,62.291
0,1,2,0.04,-0.1,20,0,102.465,41.821
0,1,2,0.04,-0.1,50,0,102.565,41.282
0,1,2,0.04,0.0,1,0,140.621,63.243
0,1,2,0.04,0.0,5,0,141.411,66.367
0,1,2,0.04,0.0,10,0,133.474,68.001
0,1,2,0.04,0.0,20,0,131.963,68.612
0,1,2,0.04,0.0,50,0,135.368,69.097
0,1,2,0.04,0.1,1,0,143.220,65.326
0,1,2,0.04,0.1,5,0,132.644,68.612
0,1,2,0.04,0.1,10,0,136.579,68.684
0,1,2,0.04,0.1,20,0,129.378,69.707
0,1,2,0.04,0.1,50,0,133.842,71.485
0,1,3,0.04,-0.1,1,0,141.823,62.381
0,1,3,0.04,-0.1,5,0,146.857,63.512
0,1,3,0.04,-0.1,10,0,144.567,64.464
0,1,3,0.04,-0.1,20,0,139.032,65.092
0,1,3,0.04,-0.1,50,0,139.966,67.319
0,1,3,0.04,0.0,1,0,136.323,61.860
0,1,3,0.04,0.0,5,0,143.934,64.141
0,1,3,0.04,0.0,10,0,138.087,63.782
0,1,3,0.04,0.0,20,0,137.636,63.369
0,1,3,0.04,0.0,50,0,137.865,67.104
0,1,3,0.04,0.1,1,0,143.941,63.081
0,1,3,0.04,0.1,5,0,135.351,66.152
0,1,3,0.04,0.1,10,0,139.501,68.630
0,1,3,0.04,0.1,20,0,131.552,68.630
0,1,3,0.04,0.1,50,0,129.736,69.222
0,1,4,0.04,-0.1,1,0,129.515,63.243
0,1,4,0.04,-0.1,5,0,129.965,62.543
0,1,4,0.04,-0.1,10,0,203.258,62.525
0,1,4,0.04,-0.1,20,0,129.803,62.920
0,1,4,0.04,-0.1,50,0,204.948,56.312
0,1,4,0.04,0.0,1,0,128.966,62.345
0,1,4,0.04,0.0,5,0,132.602,63.584
0,1,4,0.04,0.0,10,0,142.193,62.471
0,1,4,0.04,0.0,20,0,136.261,62.776
0,1,4,0.04,0.0,50,0,146.334,64.033
0,1,4,0.04,0.1,1,0,145.736,64.033
0,1,4,0.04,0.1,5,0,145.554,62.902
0,1,4,0.04,0.1,10,0,140.139,64.644
0,1,4,0.04,0.1,20,0,152.803,66.098
0,1,4,0.04,0.1,50,0,141.877,67.624
0,1,5,0.04,-0.1,1,0,137.531,63.063
0,1,5,0.04,-0.1,5,0,137.399,64.195
0,1,5,0.04,-0.1,10,0,147.912,64.590
0,1,5,0.04,-0.1,20,0,144.669,63.135
0,1,5,0.04,-0.1,50,0,148.645,62.848
0,1,5,0.04,0.0,1,0,132.195,62.992
0,1,5,0.04,0.0,5,0,129.558,62.848
0,1,5,0.04,0.0,10,0,130.192,63.925
0,1,5,0.04,0.0,20,0,134.509,63.010
0,1,5,0.04,0.0,50,0,131.131,63.117
0,1,5,0.04,0.1,1,0,136.043,62.561
0,1,5,0.04,0.1,5,0,146.698,63.333
0,1,5,0.04,0.1,10,0,139.612,63.656
0,1,5,0.04,0.1,20,0,140.827,63.063
0,1,5,0.04,0.1,50,0,146.574,63.710
0,1,6,0.04,-0.1,1,0,127.509,62.740
0,1,6,0.04,-0.1,5,0,129.136,63.961
0,1,6,0.04,-0.1,10,0,129.557,62.884
0,1,6,0.04,-0.1,20,0,128.776,62.435
0,1,6,0.04,-0.1,50,0,128.696,63.925
0,1,6,0.04,0.0,1,0,128.631,63.333
0,1,6,0.04,0.0,5,0,130.110,62.830
0,1,6,0.04,0.0,10,0,128.577,63.423
0,1,6,0.04,0.0,20,0,130.211,63.440
0,1,6,0.04,0.0,50,0,129.847,64.518
0,1,6,0.04,0.1,1,0,139.444,64.482
0,1,6,0.04,0.1,5,0,141.599,63.045
0,1,6,0.04,0.1,10,0,136.980,63.351
0,1,6,0.04,0.1,20,0,143.576,62.201
0,1,6,0.04,0.1,50,0,139.476,64.159
0,1,7,0.04,-0.1,1,0,127.802,62.758
0,1,7,0.04,-0.1,5,0,128.075,63.351
0,1,7,0.04,-0.1,10,0,129.561,63.620
0,1,7,0.04,-0.1,20,0,128.163,63.405
0,1,7,0.04,-0.1,50,0,128.312,63.889
0,1,7,0.04,0.0,1,0,130.045,63.925
0,1,7,0.04,0.0,5,0,128.027,63.063
0,1,7,0.04,0.0,10,0,128.820,62.848
0,1,7,0.04,0.0,20,0,127.766,63.297
0,1,7,0.04,0.0,50,0,127.975,63.171
0,1,7,0.04,0.1,1,0,127.890,63.243
0,1,7,0.04,0.1,5,0,129.084,62.884
0,1,7,0.04,0.1,10,0,151.090,63.476
0,1,7,0.04,0.1,20,0,166.598,62.992
0,1,7,0.04,0.1,50,0,153.322,63.620
0,1,8,0.04,-0.1,1,0,137.949,63.351
