s,t,g,c,w0,w1,h,time,acc
0,2,0.03,1,1.0,1.0,0,192.317,68.055
0,2,0.03,1,1.0,2.0,0,198.829,67.319
0,2,0.03,1,1.0,5.0,0,296.057,35.356
0,2,0.03,1,1.0,10.0,0,204.346,37.242
0,2,0.03,1,1.0,20.0,0,302.776,36.524
0,2,0.03,1,2.0,1.0,0,197.061,63.135
0,2,0.03,1,2.0,2.0,0,182.561,69.600
0,2,0.03,1,2.0,5.0,0,272.754,65.883
0,2,0.03,1,2.0,10.0,0,203.576,37.763
0,2,0.03,1,2.0,20.0,0,207.688,36.757
0,2,0.03,1,5.0,1.0,0,171.676,63.764
0,2,0.03,1,5.0,2.0,0,191.718,62.543
0,2,0.03,1,5.0,5.0,0,179.419,69.887
0,2,0.03,1,5.0,10.0,0,194.967,68.702
0,2,0.03,1,5.0,20.0,0,280.083,59.185
0,2,0.03,1,10.0,1.0,0,150.628,62.597
0,2,0.03,1,10.0,2.0,0,155.898,63.566
0,2,0.03,1,10.0,5.0,0,190.184,63.692
0,2,0.03,1,10.0,10.0,0,172.118,70.641
0,2,0.03,1,10.0,20.0,0,227.374,68.738
0,2,0.03,1,20.0,1.0,0,168.785,63.853
0,2,0.03,1,20.0,2.0,0,175.555,64.518
0,2,0.03,1,20.0,5.0,0,200.529,62.938
0,2,0.03,1,20.0,10.0,0,211.123,62.130
0,2,0.03,1,20.0,20.0,0,178.023,71.216
0,2,0.04,1,1.0,1.0,0,174.117,69.115
0,2,0.04,1,1.0,2.0,0,232.817,67.391
0,2,0.04,1,1.0,5.0,0,201.309,36.308
0,2,0.04,1,1.0,10.0,0,309.822,35.967
0,2,0.04,1,1.0,20.0,0,218.845,36.362
0,2,0.04,1,2.0,1.0,0,182.251,63.189
0,2,0.04,1,2.0,2.0,0,173.044,70.138
0,2,0.04,1,2.0,5.0,0,223.356,66.367
0,2,0.04,1,2.0,10.0,0,292.304,40.672
0,2,0.04,1,2.0,20.0,0,315.650,37.062
0,2,0.04,1,5.0,1.0,0,173.819,63.584
0,2,0.04,1,5.0,2.0,0,197.535,63.333
0,2,0.04,1,5.0,5.0,0,170.687,70.336
0,2,0.04,1,5.0,10.0,0,226.081,68.935
0,2,0.04,1,5.0,20.0,0,276.737,59.185
0,2,0.04,1,10.0,1.0,0,152.879,63.853
0,2,0.04,1,10.0,2.0,0,156.616,62.812
0,2,0.04,1,10.0,5.0,0,206.292,63.836
0,2,0.04,1,10.0,10.0,0,169.670,70.515
0,2,0.04,1,10.0,20.0,0,224.880,68.612
0,2,0.04,1,20.0,1.0,0,153.808,64.033
0,2,0.04,1,20.0,2.0,0,154.994,63.584
0,2,0.04,1,20.0,5.0,0,205.809,63.907
0,2,0.04,1,20.0,10.0,0,188.932,62.597
0,2,0.04,1,20.0,20.0,0,169.689,71.252
0,2,0.05,1,1.0,1.0,0,172.016,69.923
0,2,0.05,1,1.0,2.0,0,231.592,66.996
0,2,0.05,1,1.0,5.0,0,293.530,37.816
0,2,0.05,1,1.0,10.0,0,307.461,36.757
0,2,0.05,1,1.0,20.0,0,219.408,37.026
0,2,0.05,1,2.0,1.0,0,182.543,63.764
0,2,0.05,1,2.0,2.0,0,178.405,70.623
0,2,0.05,1,2.0,5.0,0,270.919,66.314
0,2,0.05,1,2.0,10.0,0,290.257,42.306
0,2,0.05,1,2.0,20.0,0,209.344,36.398
0,2,0.05,1,5.0,1.0,0,174.927,63.351
0,2,0.05,1,5.0,2.0,0,225.616,62.686
0,2,0.05,1,5.0,5.0,0,177.544,71.270
0,2,0.05,1,5.0,10.0,0,225.316,68.325
0,2,0.05,1,5.0,20.0,0,274.556,58.664
0,2,0.05,1,10.0,1.0,0,170.293,63.692
0,2,0.05,1,10.0,2.0,0,183.061,62.758
0,2,0.05,1,10.0,5.0,0,187.325,61.950
0,2,0.05,1,10.0,10.0,0,169.295,71.000
0,2,0.05,1,10.0,20.0,0,223.613,69.851
0,2,0.05,1,20.0,1.0,0,152.518,63.153
0,2,0.05,1,20.0,2.0,0,156.885,63.620
0,2,0.05,1,20.0,5.0,0,173.047,62.094
0,2,0.05,1,20.0,10.0,0,206.707,64.195
0,2,0.05,1,20.0,20.0,0,166.749,71.485
0,2,0.1,1,1.0,1.0,0,164.211,69.815
0,2,0.1,1,1.0,2.0,0,187.808,68.037
0,2,0.1,1,1.0,5.0,0,289.656,42.701
0,2,0.1,1,1.0,10.0,0,305.100,37.386
0,2,0.1,1,1.0,20.0,0,337.674,36.452
0,2,0.01,1,1.0,1.0,0,187.651,67.732
0,2,0.01,1,1.0,2.0,0,247.594,67.068
0,2,0.01,1,1.0,5.0,0,295.294,36.973
0,2,0.04,1000,1.0,1.0,1,254.146,74.232
0,2,0.04,5000,1.0,1.0,1,348.662,74.484
0,2,0.04,10000,1.0,1.0,1,545.595,76.154
0,2,0.04,50000,1.0,1.0,1,1457.566,75.148
0,2,0.04,20000,1.0,1.0,1,726.506,75.310
0,2,0.04,2000,1.0,1.0,1,187.804,74.825
0,2,0.04,100,1.0,1.0,0,138.088,73.855
0,2,0.04,11000,1.0,1.0,0,815.352,74.484
