s,t,g,r,c,h,time,acc
0,3,0.04,-0.2,1,0,177.624,67.822
0,3,0.04,-0.2,5,0,176.031,69.689
0,3,0.04,-0.2,10,0,175.441,69.743
0,3,0.04,-0.2,20,0,175.467,69.905
0,3,0.04,-0.2,50,0,185.812,71.575
0,3,0.04,-0.1,1,0,182.651,68.289
0,3,0.04,-0.1,5,0,176.948,70.084
0,3,0.04,-0.1,10,0,177.306,70.408
0,3,0.04,-0.1,20,0,175.719,70.749
0,3,0.04,-0.1,50,0,175.154,71.287
0,3,0.04,0.0,1,0,180.091,68.343
0,3,0.04,0.0,5,0,176.574,69.600
0,3,0.04,0.0,10,0,173.624,70.479
0,3,0.04,0.0,20,0,174.704,70.892
0,3,0.04,0.0,50,0,174.188,70.964
0,3,0.04,0.1,1,0,178.974,68.109
0,3,0.04,0.1,5,0,175.396,69.420
0,3,0.04,0.1,10,0,182.669,70.749
0,3,0.04,0.1,20,0,175.148,71.665
0,3,0.04,0.1,50,0,174.763,71.593
0,3,0.04,0.2,1,0,179.192,68.630
0,3,0.04,0.2,5,0,174.606,69.761
0,3,0.04,0.2,10,0,174.146,70.839
0,3,0.04,0.2,20,0,182.620,70.713
0,3,0.04,0.2,50,0,182.502,71.018
0,3,0.04,0.0,5000,1,319.847,69.079
